seq,부서,세부사업,개별사업,통계목추정,매칭상태,점수,조서구분,DB부서,DB세부사업,bgt_dgr,te_bgt_compo_id,기존구분글자수,기존검토글자수,비고,구분초안,검토내용초안
"1","도시계획과","부산광역시 도시기본계획 수립","2040년 부산도시기본계획(변경) 수립(401-01)","40101","EXACT","1.08","투자심사조서","도시계획과","부산광역시 도시기본계획 수립","4","R1004764109","100","266","","· 위치(구간) : 부산광역시 전 행정구역 및 항만·어항구역 | · 사업규모 : 2040년 부산도시기본계획 수립용역 1식(A=993.54㎢) | · 총사업비 : 1,300백만원(용역 1,300) | ※ 재원부담 : 시비 100% | · 사업기간 : (신규) 2026년 ~ 2028년(2년간) | · 2026년~2028, 도시계획과","○ 요구내용(사업설명서 기반 초안) | -「국토계획법」제23조에 따라 2023년 3월 확정된 2040년 부산도시기본계획을 | 변화된 도시여건을 감안하여 타당성 재검토(5년 주기)토록 규정(법정계획) | 새정부 국정과제 및 민선9기 정책목표 수용,「제5차 | 국토종합계획 | 수정계획 | (’26~’40)」 | 등을 반영한 장기발전 방향에 부합하는 도시기본계획 변경수립 필요 | 국토부 도시기본계획 제도개편( | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"2","도시계획과","인력운영비","인력운영비(101-03)","10103","UNMATCHED","0","경상심사조서","","","4","","69","122","부서불일치로 매칭 취소","· 근 거 : ｢부산광역시 공무직 및 기간제노동자 인사관리규정」 등 | · 사업기간 : (계속) 2026년 | · 시행주체 : 부산광역시 | · 추경예산안(비교증감) : 3,701천원(시비) | ※ 재원부담 : 시비 100% | · 사업내용 | 도시계획과","○ 추진상황 | - ’26. 1.~12. 월별 균등 지급 | ○ 요구내용(사업설명서 기반 초안) | - 추경예산안(비교증감) : 3,701천원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"3","도로계획과","식만~사상 혼잡도로 (중기주요사업)","식만~사상 혼잡도로(401-01등)","40101","EXACT","1","투자심사조서","도로계획과","식만~사상 혼잡도로","4","R0000209189","126","255","","· 위치(구간): 강서구 식만동(식만JCT)~사상구 삼락동(사상공단) | · 사업규모: 도로건설 L=8.24km, B=20m(4차로) | · 총사업비: 393,370백만원(공사 288,697, 보상 85,582, 기타 21,357) | ※ 재원부담: 설계비(국비), 보상비(시비), 공사비(국비 50%. 시비 50%) | · 사업기간: (계속) 2014년 ~ 2030년(17년간) | · 사업내용: 서부산권 물류허브 플랫폼 배후도로망 구축 및 기존 낙동강 횡단 교량의 만성적인 교통난 해소 | · 2014년~2030, 도로계획과","○ 요구내용(사업설명서 기반 초안) | - 혼잡도로 국고보조사업으로 국비 미매칭(공사비) 시비 편성 | - ’ | 26년 공사 추진을 위한 공사비 및 부대비 예산 편성 | - 추경예산안(비교증감) | - 12 | ,400백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"4","도로계획과","엄궁대교 건설 (중기주요사업)","엄궁대교 건설(401-01등)","40101","EXACT","1","투자심사조서","도로계획과","엄궁대교 건설","4","R0000216279","140","247","","· 위치(구간): 강서구 대저동 ~ 사상구 엄궁동 | · 사업규모: 도로건설 L=2.91km, B=6~8차로 | · 총사업비: 343,126백만원(공사 288,947, 보상 40,112, 기타 14,067) | ※ 재원부담: 설계비(국비), 보상비(시비), 공사비(국비 50%, 시비 50%) | · 사업기간: (계속) 2019년 ~ 2030년(12년간) | · 사업내용: 서부산권 균형개발에 따른 기존 낙동강 횡단교량 교통정체 해소 및 에코델타시티 등 서부산권 접근 도로망 적기 구축 | · 사업성과: 장낙대교~에코델타시티~엄궁대교 동시 개통을 통한 남해고속도로, 국도2호선 등 이용 시민의 생활편익 제고 | · 2019년~2030, 도로계획과","○ 요구내용(사업설명서 기반 초안) | - 혼잡도로 국고보조사업으로 국비 미매칭(공사비) 시비 편성 | - ’ | 26년 공사 추진을 위한 공사비 및 보상비 등 예산 편성 | - 추경예산안(비교증감) | - 52 | ,717백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"5","도로계획과","공동어시장 진입도로 확장 (중기주요사업)","공동어시장 진입도로 확장(401-01)","40101","EXACT","1","투자심사조서","도로계획과","공동어시장 진입도로 확장","4","R1004768852","119","237","","· 위치(구간) : 서구 공동어시장 앞 ~ 남부민동 대림비치아파트 | · 사업규모 : 도로확장 L=740m, B=25→35m | · 총사업비 : 79,153백만원(공사 11,449, 보상 66,172, 기타 1,532) | ※ 재원부담 : 시비 100% | · 사업기간: (계속) 2019년 ~ 2026년(8년간) | · 2019년~2026, 도로계획과","○ 요구내용(사업설명서 기반 초안) | - 26년 사업완료를 위한 미계약 토지분에 대한 매매대금 편성 | - 추경예산안(비교증감) | - 1,300 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"6","도로계획과","대변~죽성교차로간 도로개설 (중기주요사업)","대변~죽성교차로간 도로개설(401-01)","40101","EXACT","1","투자심사조서","도로계획과","대변~죽성교차로간 도로개설","4","L0000000068","64","249","","· 위치(구간): 기장군 기장읍 대변 ~ 월전 ~ 죽성교차로 일원 | · 사업규모: 도로개설 L=6,180m, B=13.5~20m | · 총사업비: 76,400백만원(공사 43,600, 보상 28,300, 기타 4,500) | ※ 재원부담: 시비 50%, 군비 50% | · 사업기간: (계속) 2008년 ~ 2027년(20년간) | · 사업내용: 오시리아관광단지 해안관광도로와 연계한 주변 도시기반시설 확충 | · 2008년~2027, 도로계획과","○ 요구내용(사업설명서 기반 초안) | 본 도로는 오시리아 관광단지 개발과 연계한 주변 도로 시설 인프라 구축 일환 | 추진하는 사업으로 ’08년부터 시비를 투자(50%)하여 시행 중이며, 오시리아 관광단지 | 발로 인한 교통 해소가 시급하며, 물가 및 지가 상승으로 인한 사업비 증가를 방지 | 하고자 집중투자를 위한 ’26년 제3회 추경예산 필요 | - 추경예산안(비교증감) | - 2 | ,000백만원(시비) | ※ ‘26년 총사업비 변경하여 군비 별도 확보 예정 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"7","도로계획과","도로전기설비 계획 (성인지예산, 중기주요사업)","남항대교 해무대비 전기설비 개선(401-01)","40101","EXACT","1.08","투자심사조서","도로계획과","도로전기설비 계획","1","R1003986995","118","279","","· 위치(구간): 영도구 남항대교 일원 | · 사업규모: 조명시설개선 1식 | · 총사업비: 750백만원(공사 750) | ※ 재원부담 : 시비 100% | · 사업기간: (신규) 2026.10월 ~ 2027.6월 | · 사업성과: 터널 내 시선유도등 등 안전시설 보강설치로 교통사고 예방 | 도로계획과","○ 요구내용(사업설명서 기반 초안) | - 「기상청 기후통계분석」기준 부산시는 전국적으로 안개 발생 빈도가 높은 지역으로, 특히 해상교량이 설치된 해안지역은 해무로 인한 기상악화 현상이 빈번하게 발생함 | (최근 5년 부산지역 평균 안개 발생일수 : 15.6일) | - 해무 발생 시 가시거리의 급격한 저하로 운전자의 시야 확보가 어려워 차량 추돌, 충돌 및 2차 사고 발생 등 사고 위험 증가 | - 국토교통부 예규인 「도로안전시설 설치 및 관리지침」“제10편 악천후 구간, | 터널 및 장대교량 설치시설편”에 안개 등 악천후 기상현상으로 인해 도로 이용자가 | 안전한 운행을 유지하기 어려우며 사고 발생 위험이 높은 구간에 시정계, 안개 | 시선유도등, 조명시설 등 도로안전시설을 설치 할 수 있음. 도로 교통의 안전 도모로 인명피해 예방을 위해 시행되는 재난예방사업임. | - 추경예산안 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"8","도로계획과","도로전기설비 관리 (중기주요사업)","황령터널(전포방향) 노후 옥내소화전설비 교체(401-01)","40101","EXACT","1.08","투자심사조서","도로계획과","도로전기설비 관리","1","R1003987569","109","174","","· 위치(구간): 남구 황령터널(전포방향) | · 사업규모: 노후 옥내소화전 교체 1식 | · 총사업비: 1,570백만원(공사 1,570) | ※ 재원부담 : 시비 100% | · 사업기간: (신규) 2026.10월 ~ 2027.3월 | 도로계획과","○ 요구내용(사업설명서 기반 초안) | - 옥내소화전설비 소화용수배관의 심각한 부식 및 지속적인 누수 발생으로 화재 대응력이 심각하게 저하되어 노후 배관 등 관련 설비 전면 교체 필요 | - 「재난 및 안전관리 기본법」제29조(재난방지시설의 관리) 및 같은법 시행령 제37조(재난방지시설의 범위)에 의거 터널은 재난방지시설이며, 「자연재해대책법」시행령 제55조에 의한 방재시설임 | - 국토교통부 예규인「도로터널 방재․환기 시설 설치 및 관리지침」에도 옥내소화전설비는 법정 방재시설로 분류되어 있어, 터널 내 각종 사고에 대비한 방재설비 보수는 인명·재산 피해를 막기 위한 필수 재난예방사업임. | - 추경예산안 | - 1,570 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"9","도로계획과","도로전기설비 관리 (중기주요사업)","도로터널(4개소) 시선유도등 외 안전시설 설치(401-01)","40101","EXACT","1.08","투자심사조서","도로계획과","도로전기설비 관리","1","R1003987569","109","174","","· 위치(구간): 곰내, 개좌, 방곡, 두명터널 일원 | · 사업규모: 시선유도등 및 안전시설 설치 1식 | · 총사업비: 580백만원(공사 580) | ※ 재원부담 : 시비 100% | · 사업기간: (신규) 2026.10월 ~ 2027.6월 | · 사업성과: 터널 내 시선유도등 등 안전시설 보강설치로 교통사고 예방 | 도로계획과","○ 요구내용(사업설명서 기반 초안) | 교통사고가 잦은 곰내터널 등 도로안전시설이 미흡한 터널(4개소)에 | 시선유도등, | 거리표시유도등을 설치하여 도로안전기능 강화 | 국토교통부 예규인 「도로안전시설 설치 및 관리지침」“제10편 악천후 구간, 터널 및 | 장대교량 설치 시설편”에 터널 전·후방 및 터널 내부의 구조·교통상황 등을 종합적으로 | 검토하여 안전하고 원활한 교통을 확보할 수 있도록 시선유도등, 거리표시유도등 등 도로안전시설을 설치함으로써, 터널 내 교통 안전 도모로 인명피해 예방 | - 추경예산안 | - 580 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"10","도로계획과","수영부두 노후 접안시설 보수보강공사 (중기주요사업)","수영부두 노후 접안시설 보수보강공사(401-01)","40101","LIKELY","0.8","투자심사조서","도로계획과","수영부두 공유수면 보수보강공사","4","R1004768916","73","258","별칭/재매칭","· 위치(구간) : 부산광역시 해운대구 동백로88(우동) (동백공원 내 수영부두) | · 사업규모 : 노후 접안시설 보수보강(A=1,300㎡) 등 | · 총사업비 : 800백만원(공사 760, 기타 40) | ※ 재원부담 : 시비 100% | · 사업기간: (신규) 2026년 ~ 2027년 | · 사업내용 : 장기간 방치 된 노후 접안시설(부두) 보수보강 공사 | · 사업성과 : 광안대교 건설공사 적출장으로 사용되고 장기간 방치된 노후 접안시설(부두) 보수·보강으로 재해예방 및 시민안전 확보 | · 2026년~2027, 도로계획과","○ 요구내용(사업설명서 기반 초안) | 정밀안전점검 “D”등급 노후 장기 방치된 시설물의 보수보강공사를 위한 예산편성 | - 추경예산안(비교증감) | - 800 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
